SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
61,mkakanidanda-sw1,TRUE,7/18/2025 23:54:17,7/19/2025 10:14:08,Switch,Central Region,Rebooted,2nd Shrawan,"0 days, 10 hrs, 19 min",,Power,0.4304513889,Prov3
1,mpatan-baitadi-sw1,,7/19/2025 0:12:56,7/19/2025 6:15:07,Switch,********,Unknown,3rd Shrawan,"0 days, 06 hrs, 02 min",,Unknown,0.2515162037,Prov7
2,mchitredanda-lamjung-sw1,,7/19/2025 2:32:08,7/19/2025 7:48:59,Switch,********,Rebooted,3rd Shrawan,"0 days, 05 hrs, 16 min",,Power,0.2200347222,Prov5
3,mbasgadi-sw1 - mmainapokhar-sw1,,7/19/2025 3:53:00,7/21/2025 10:23:29,Link Down,********,Fiber Issue,3rd Shrawan,"2 days, 06 hrs, 30 min", As per conversation with basgadi and mainapokhar franchises team there was some issue in the segment they will update when they find the issue. Thank you ,Fiber,2.271168981,**********
4,mkhalanga-sw1 - mjantilake-sw1,,7/19/2025 4:05:00,7/19/2025 10:19:00,Link Down,********,Power Issue,3rd Shrawan,"0 days, 06 hrs, 14 min",PTP wireless link is fine after powering on jantilake side radio by local support.,Power,0.2597222222,**********
5,mnayabasti-sw1,FALSE,7/19/2025 5:24:22,7/19/2025 5:59:00,Switch,Central Region,Routed,3rd Shrawan,"0 days, 00 hrs, 34 min",,Fiber,0.02405092592,Prov3
6,mbirauta- msyangja [10G],,7/19/2025 5:55:48,7/19/2025 15:27:57,Link Down,********,Fiber Breakage,3rd Shrawan,"0 days, 09 hrs, 32 min","As per Anmol jee, Fiber breakages is measured at the distance of 16 km from Syangja Pop.  Team is working . ETR 1-2 hours.",Fiber,0.3973263889,**********
7,mnayabasti-sw1-mbattisputali,,7/19/2025 5:24:22,7/27/2025 9:20:00,Link Down,********,Fiber Breakage,3rd Shrawan,"8 days, 03 hrs, 55 min",Team busy . We will plan tomorrow . ,Fiber,8.163634259,**********
8,mranjha-sw1,FALSE,7/19/2025 6:30:52,7/19/2025 14:46:27,Switch,Far Western Region,CT Line Issue,3rd Shrawan,"0 days, 08 hrs, 15 min",,Power,0.3441550926,Prov5
9,mjamune-sw1,FALSE,7/19/2025 6:58:37,7/19/2025 7:39:49,Switch,Highway PoP,CT Line Issue/Backup Drained,3rd Shrawan,"0 days, 00 hrs, 41 min",,Power,0.02861111111,Prov4
10,mbirtamode <->msurunga-dls-sw1,,7/19/2025 7:43:00,7/19/2025 14:36:32,Link Down,********,Fiber Burnt,3rd Shrawan,"0 days, 06 hrs, 53 min",,Fiber,0.2871759259,**********
11,mambhanjyang-sw1,FALSE,7/19/2025 7:43:26,7/20/2025 10:25:42,Switch,Makawanpur NTA,Device Issue,3rd Shrawan,"1 days, 02 hrs, 42 min",Again damaged trunk device due to lightening so kindly process to send power beam 500 device at Hetauda in urgent basis.,Device,1.112685185,Prov3
12,mbirtamode <-> mjhiljhile [10G],,7/19/2025 7:47:55,7/20/2025 11:52:55,Link Down,********,Fiber Burnt,3rd Shrawan,"1 days, 04 hrs, 05 min","As per Prish Ji, team is currently busy with traps link maintenance. Team will do the needful tomorrow only.",Fiber,1.170138889,**********
13,mdharan <->mdhankuta [10G],,7/19/2025 7:45:55,7/19/2025 12:45:55,Link Down,********,Fiber Burnt,3rd Shrawan,"0 days, 05 hrs, 00 min",,Fiber,0.2083333333,**********
14,mdurgaphat-sw1,FALSE,7/19/2025 8:51:57,7/19/2025 14:24:07,Switch,Western Region,Fiber Breakage,3rd Shrawan,"0 days, 05 hrs, 32 min",,Fiber,0.2306712963,Prov5
15,mpokhara-satmane-sw1,FALSE,7/19/2025 8:48:20,7/19/2025 9:10:30,Switch,Western Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01539351852,Prov4
16,mhille <-> mbhojpur [10G] -TM,,7/19/2025 9:11:00,7/19/2025 9:53:09,Link Down,********,Fiber Breakage,3rd Shrawan,"0 days, 00 hrs, 42 min",,Fiber,0.02927083333,**********
17,mbhajani-sw1,FALSE,7/19/2025 9:08:59,7/19/2025 10:11:10,Switch,Far Western Region,Rebooted,3rd Shrawan,"0 days, 01 hrs, 02 min",,Power,0.04318287037,Prov7
18,mbhajani-sw1,FALSE,7/19/2025 9:22:08,7/19/2025 9:44:00,Switch,Far Western Region,Unknown,3rd Shrawan,"0 days, 00 hrs, 21 min",,Unknown,0.01518518518,Prov7
19,mpepsicola <-> mjorpati [10G] : mpepsicola <-> mchabahil [10G],,7/19/2025 10:33:00,7/19/2025 12:43:15,Link Down,********,Fiber Breakage,3rd Shrawan,"0 days, 02 hrs, 10 min",,Fiber,0.09045138889,**********
20,mpepsicola-sw1 <-> mbouddha-sw1,,7/19/2025 10:33:00,7/19/2025 12:55:01,Link Down,********,Fiber Breakage,3rd Shrawan,"0 days, 02 hrs, 22 min",,Fiber,0.09862268519,**********
21,mbhimad-sw1,FALSE,7/19/2025 11:06:24,7/19/2025 12:31:59,Switch,Western Region,Unknown,3rd Shrawan,"0 days, 01 hrs, 25 min",,Unknown,0.05943287037,Prov4
22,mhetauda-hid-sw1,FALSE,7/19/2025 12:50:00,7/19/2025 13:01:00,Switch,Central Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 11 min",,Power,0.007638888892,Prov3
23,mmusikotbazaar,,7/19/2025 12:52:49,7/19/2025 19:53:53,MPLS,Far Western Region,POP Shift,3rd Shrawan,"0 days, 07 hrs, 01 min",,Maintainance,0.2924074074,Prov6
24,mdiktel <->mbhojpur [10G] -TM fiber,,7/19/2025 12:56:00,7/19/2025 13:29:00,Link Down,********,Techmind issue,3rd Shrawan,"0 days, 00 hrs, 33 min",,Fiber,0.02291666666,**********
25,mhetauda-hid-sw1,FALSE,7/19/2025 12:56:24,7/19/2025 14:31:59,Switch,Central Region,Unknown,3rd Shrawan,"0 days, 01 hrs, 35 min",,Unknown,0.06637731481,Prov3
26,mridi <-> mpalpa [10G]- TM,,7/19/2025 13:30:31,7/19/2025 15:45:31,Link Down,********,Techmind issue,3rd Shrawan,"0 days, 02 hrs, 15 min",We have informed to TM. Please verify from our side also.,Fiber,0.09375,**********
27,mpokhara <-> mbirauta [100G],,7/19/2025 13:54:00,7/19/2025 18:38:23,Link Down,********,Fiber Breakage,3rd Shrawan,"0 days, 04 hrs, 44 min","As per Anmol ji , team are not responding the calls .",Fiber,0.1974884259,**********
28,mthada-amrai-sw1,FALSE,7/19/2025 14:10:59,7/19/2025 14:26:34,Switch,Western Region,CT Line Issue,3rd Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01082175926,Prov5
29,mdoti-sw1,FALSE,7/19/2025 14:30:45,7/19/2025 20:35:06,Switch,Far Western Region,CT Line Issue/Backup Drained,3rd Shrawan,"0 days, 06 hrs, 04 min","As per Hemraj ji, there is backup issue, hence the host is down due to prolonged CT-line outage. It will be reachable once the CT-line is resumed.",Power,0.2530208333,Prov7
30,mbaitadibazaar,FALSE,7/19/2025 14:42:27,7/19/2025 14:45:05,MPLS,********,Rebooted,3rd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001828703702,Prov7
31,mchanauli-sw1,FALSE,7/19/2025 15:17:27,7/19/2025 16:00:00,Switch,Central Region,Unknown,3rd Shrawan,"0 days, 00 hrs, 42 min",,Unknown,0.02954861111,Prov3
32,mranjha-sw1,FALSE,7/19/2025 16:42:00,7/19/2025 17:02:02,Switch,Far Western Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 20 min",,Power,0.01391203704,Prov5
33,mdandagaun-sw1,FALSE,7/19/2025 16:42:20,7/19/2025 17:11:28,Switch,Central Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 29 min",,Power,0.02023148148,Prov3
34,mbhajani-sw1,FALSE,7/19/2025 16:41:10,7/20/2025 11:23:21,Switch,Far Western Region,Rebooted,3rd Shrawan,"0 days, 18 hrs, 42 min",,Power,0.7792939815,Prov7
35,mbhimad-sw1,FALSE,7/19/2025 16:46:10,7/19/2025 18:07:34,Switch,Western Region,Unknown,3rd Shrawan,"0 days, 01 hrs, 21 min",,Unknown,0.05652777778,Prov4
36,mkerkha-sw1,FALSE,7/19/2025 12:42:52,7/20/2025 4:56:21,Switch,Eastern Region,Fiber Issue,3rd Shrawan,"0 days, 16 hrs, 13 min","As per Bijay ji, there is fiber issue.",Fiber,0.6760300926,Prov1
37,mtaapkharka-sw1,TRUE,7/19/2025 18:01:15,7/19/2025 18:23:25,Switch,Central Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01539351852,Prov3
38,msirdibas-sw1,TRUE,7/19/2025 18:41:42,7/20/2025 7:53:53,Switch,Gorkha NTA,Full Solar POP,3rd Shrawan,"0 days, 13 hrs, 12 min",,Power,0.5501273148,**********
39,mjantilake-sw1,FALSE,7/19/2025 18:58:59,7/19/2025 20:05:53,Switch,Far Western Region,Unknown,3rd Shrawan,"0 days, 01 hrs, 06 min",,Unknown,0.04645833333,Prov6
40,mdaphelake-sw1,TRUE,7/19/2025 18:58:59,7/20/2025 6:18:36,Switch,Far Western Region,Full Solar POP,3rd Shrawan,"0 days, 11 hrs, 19 min",,Power,0.4719560185,**********
41,mjhumka-dls-sw1,FALSE,7/19/2025 19:37:59,7/19/2025 19:41:03,Switch,Eastern Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002129629625,Prov1
42,mhaleshi-sw1,FALSE,7/19/2025 20:02:54,7/20/2025 6:18:36,Switch,Eastern Region,Rebooted,3rd Shrawan,"0 days, 10 hrs, 15 min",,Power,0.4275694444,Prov1
43,madarshanagar-Te-0-1-0-13-Connected-to-gpokhariya-nt-a-Xfp-3,,7/19/2025 20:11:12,7/19/2025 20:41:00,Traffic Congestion,********,Congestion,3rd Shrawan,"0 days, 00 hrs, 29 min",,Traffic Issue,0.02069444444,**********
44,mkataridanda-sw1,FALSE,7/19/2025 20:53:08,7/20/2025 6:48:11,Switch,Eastern Region,Rebooted,3rd Shrawan,"0 days, 09 hrs, 55 min",,Power,0.4132291667,Prov1
45,msidhuwa-sw1,FALSE,7/19/2025 22:02:00,7/19/2025 22:31:00,Switch,Eastern Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 29 min",,Power,0.02013888889,Prov1
46,mmurtidanda-sw1,FALSE,7/19/2025 22:08:27,7/20/2025 7:00:37,Switch,Eastern Region,Rebooted,3rd Shrawan,"0 days, 08 hrs, 52 min",,Power,0.3695601852,Prov1
47,mbal - mdhalkebar [100G],,7/19/2025 23:11:00,7/19/2025 23:11:00,Link Flap,********,Unknown,3rd Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0,**********
48,mkhawadanda-sw1,FALSE,7/19/2025 23:22:00,7/19/2025 23:24:00,Switch,Central Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888886,Prov3
49,mdandagaun-sw1,FALSE,7/19/2025 23:01:47,7/19/2025 23:21:30,Switch,Central Region,Rebooted,3rd Shrawan,"0 days, 00 hrs, 19 min",,Power,0.01369212963,Prov3
50,mlahachhewar-sw1,FALSE,7/19/2025 23:20:41,7/20/2025 7:26:16,Switch,********,Rebooted,3rd Shrawan,"0 days, 08 hrs, 05 min",,Power,0.3372106481,Prov3
51,mdandagaun-sw1,FALSE,7/19/2025 23:51:28,7/20/2025 13:36:28,Switch,Central Region,Uplink issue,3rd Shrawan,"0 days, 13 hrs, 45 min",,Fiber,0.5729166667,Prov3
52,mchitlang-sw1,FALSE,7/19/2025 23:54:44,7/21/2025 10:47:02,Switch,Makawanpur NTA,Ethernet Cable loose,3rd Shrawan,"1 days, 10 hrs, 52 min",Ram(9801158565) is on the way to Palung and will be staying there tonight. He is scheduled to visit the POP site early tomorrow morning.,,1.452986111,Prov3
53,mmalekhu - mkurintar-dls-sw1 [10G],,7/19/2025 17:29:00,7/23/2025 16:49:04,Link Down,********,Optical Power,3rd Shrawan,"3 days, 23 hrs, 20 min","We are unable to maintain the optical level until vendor team ready to maintain it ahead . As per Mahesh ji , several call made to Vendor team were not responding . ",Fiber,3.972268519,**********
1,mbeltar-dls-sw1,FALSE,7/20/2025 0:30:00,7/20/2025 0:33:00,Switch,Eastern Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov1
2,mpatan-baitadi-sw1,,7/20/2025 0:45:07,7/20/2025 7:19:38,Switch,********,Rebooted,4th Shrawan,"0 days, 06 hrs, 34 min",,Power,0.2739699074,Prov7
3,mkhawadanda-sw1,FALSE,7/20/2025 1:18:21,7/20/2025 5:24:23,Switch,Central Region,Rebooted,4th Shrawan,"0 days, 04 hrs, 06 min",,Power,0.1708564815,Prov3
4,mrangeli-dls-sw1,FALSE,7/20/2025 1:26:00,7/20/2025 1:29:00,Switch,Eastern Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov1
5,mburtibang-sw1,FALSE,7/20/2025 1:52:00,7/20/2025 1:56:00,Switch,Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.00277777778,Prov5
6,mchitredanda-lamjung-sw1,,7/20/2025 2:15:08,7/21/2025 20:08:40,Switch,********,Unknown,4th Shrawan,"1 days, 17 hrs, 53 min","Nabin Jee has been informed to look into the matter and will provide an update accordingly.As per his information, the local support is currently not reachable, and the POP site is located at a considerable distance — approximately a two-day walk from his location. Therefore, there is no further update for now.We will share any developments as soon as we receive them.",Unknown,1.745509259,Prov5
7,mdamak - mitahari [BL-Fiber] [30G],,7/20/2025 2:44:00,7/21/2025 15:24:49,Link Down,********,Fiber Breakage,4th Shrawan,"1 days, 12 hrs, 40 min","""As per our local team, link will be maintained around 5:00 - 6:00 PM""",Fiber,1.528344907,**********
8,mranjha-sw1,FALSE,7/20/2025 2:49:00,7/20/2025 3:07:37,Switch,Far Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 18 min",,Power,0.01292824074,Prov5
9,mmidmarsyangdi-dam-sw1,FALSE,7/20/2025 3:15:58,7/20/2025 3:21:17,Switch,Highway PoP,Rebooted,4th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003692129627,Prov4
10,mnaamdanda-sw1,TRUE,7/20/2025 4:56:54,7/20/2025 8:04:18,Switch,Central Region,Full Solar POP,4th Shrawan,"0 days, 03 hrs, 07 min",,Power,0.1301388889,Prov3
11,mpokhara - mbirauta [100G],,7/20/2025 5:11:00,7/20/2025 12:06:00,Link Down,********,Fiber Breakage,4th Shrawan,"0 days, 06 hrs, 55 min",,Fiber,0.2881944444,**********
12,mrindanda-sw1,FALSE,7/20/2025 5:22:13,7/20/2025 8:04:16,Switch,Central Region,Rebooted,4th Shrawan,"0 days, 02 hrs, 42 min",,Power,0.1125347222,Prov3
13,mjamune-sw1,FALSE,7/20/2025 5:55:06,7/20/2025 15:27:30,Switch,Highway PoP,CT Line Issue/Backup Drained,4th Shrawan,"0 days, 09 hrs, 32 min",,Power,0.3975,Prov4
14,mdaphelake-sw1,TRUE,7/20/2025 7:00:28,7/20/2025 7:14:00,Switch,Far Western Region,Unknown,4th Shrawan,"0 days, 00 hrs, 13 min",,Unknown,0.009398148148,Prov6
15,mjantilake-sw1,FALSE,7/20/2025 7:15:53,7/20/2025 10:11:28,Switch,Far Western Region,Pole shifting,4th Shrawan,"0 days, 02 hrs, 55 min",,Fiber,0.1219328704,Prov6
16,mfikkal,,7/20/2025 8:22:00,7/20/2025 8:36:00,MPLS,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 14 min",,Power,0.009722222218,Prov1
17,mpatale-sw1,FALSE,7/19/2025 20:01:53,7/24/2025 16:57:39,Switch,Eastern Region,Device Issue,4th Shrawan,"4 days, 20 hrs, 55 min",Please dispatch the switch referring to req no 2082/83-528.,Device,4.872060185,Prov1
18,mmusikotbazaar,,7/20/2025 8:43:53,7/20/2025 8:51:00,MPLS,Far Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.004942129628,Prov6
19,mbarabise-dls-sw1,FALSE,7/20/2025 9:06:25,7/20/2025 13:32:01,Switch,Central Region,Fiber Breakage,4th Shrawan,"0 days, 04 hrs, 25 min",,Fiber,0.1844444444,Prov3
20,mshivgunj-sw1,,7/20/2025 9:00:28,7/20/2025 10:36:04,Switch,********,CT Line Issue/Backup Drained,4th Shrawan,"0 days, 01 hrs, 35 min",,Power,0.06638888889,Prov1
21,mpokhara-satmane-sw1,FALSE,7/20/2025 9:00:30,7/20/2025 10:02:40,Switch,Western Region,Rebooted,4th Shrawan,"0 days, 01 hrs, 02 min",,Power,0.0431712963,Prov4
22,mrajbiraj,FALSE,7/20/2025 9:10:00,7/20/2025 9:31:00,MPLS,Eastern Region,CT Line Issue/Backup Drained,4th Shrawan,"0 days, 00 hrs, 21 min",,Power,0.01458333333,Prov2
23,mkerkha-sw1,FALSE,7/20/2025 10:42:00,7/20/2025 16:18:32,Switch,Eastern Region,Routed,4th Shrawan,"0 days, 05 hrs, 36 min",,Fiber,0.2337037037,Prov1
24,mjujeneta-sw1,FALSE,7/20/2025 10:51:02,7/20/2025 11:23:13,Switch,Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02234953704,Prov5
25,msafebager-sw1,FALSE,7/20/2025 11:29:00,7/20/2025 11:50:00,Losses/Latency,Far Western Region,RF Cable Issue,4th Shrawan,"0 days, 00 hrs, 21 min",,Fiber,0.01458333333,Prov7
26,mchainpur,,7/20/2025 11:38:44,7/20/2025 11:58:12,MPLS,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 19 min",,Power,0.01351851852,Prov1
27,msidhuwa-sw1,FALSE,7/20/2025 11:57:39,7/20/2025 12:29:50,Switch,Eastern Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 32 min",,Power,0.02234953704,Prov1
28,mpulchowk <->mbhaisepati [10G],,7/20/2025 11:56:00,7/20/2025 15:54:57,Optical Power,********,Fiber Losses,4th Shrawan,"0 days, 03 hrs, 58 min",,Fiber,0.1659375,**********
29,mlapsiphedi <-> msakhu [10G],,7/20/2025 11:37:13,7/20/2025 13:35:00,Link Down,********,Fiber Breakage,4th Shrawan,"0 days, 01 hrs, 57 min",,Fiber,0.08179398148,**********
30,mdhulabari-sw1,FALSE,7/20/2025 12:02:57,7/20/2025 12:25:00,Switch,Eastern Region,Routed,4th Shrawan,"0 days, 00 hrs, 22 min",,Fiber,0.0153125,Prov1
31,mcharali-sw1,FALSE,7/20/2025 12:04:08,7/20/2025 17:36:21,Switch,Eastern Region,Fiber Breakage,4th Shrawan,"0 days, 05 hrs, 32 min",,Fiber,0.2307060185,Prov1
32,mdhulabari-sw1-mbirtamode-sw1,,7/20/2025 12:02:57,7/21/2025 4:59:00,Link Down,********,Fiber Breakage,4th Shrawan,"0 days, 16 hrs, 56 min", We will test the link tonight and will update.,Fiber,0.7055902778,**********
33,mbanepa <->msuryabinayak [10G],,7/20/2025 12:25:00,7/20/2025 18:13:13,Link Down,********,Fiber Breakage,4th Shrawan,"0 days, 05 hrs, 48 min",As per team there is fiber breakage at the Distance of 876 meter from Pop.,Fiber,0.2418171296,**********
34,msidhuwa-sw1,FALSE,7/20/2025 12:39:50,7/20/2025 16:02:00,Switch,Eastern Region,Rebooted,4th Shrawan,"0 days, 03 hrs, 22 min",,Power,0.1403935185,Prov1
35,mairport-tia-WL-sw3,,7/20/2025 12:55:50,7/20/2025 14:14:11,Switch,********,Rebooted,4th Shrawan,"0 days, 01 hrs, 18 min",,Power,0.05440972222,Prov3
36,mtinkune <-> mbuddhanagar [10G],,7/20/2025 12:48:13,7/21/2025 14:11:44,Link Down,********,Fiber Breakage,4th Shrawan,"1 days, 01 hrs, 23 min",Team is busy with another task Team Will look into the issue tomorrow ,Fiber,1.057997685,**********
37,mchainpur,,7/20/2025 13:35:00,7/20/2025 13:44:00,MPLS,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006250000006,Prov1
38,msankrantibazaar,,7/20/2025 13:44:52,7/20/2025 14:02:27,MPLS,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 17 min",,Power,0.01221064815,Prov1
39,mbeni-sw1,FALSE,7/20/2025 14:03:22,7/20/2025 15:28:22,Switch,Western Region,Rebooted,4th Shrawan,"0 days, 01 hrs, 25 min",,Power,0.05902777777,Prov4
40,msankrantibazaar,,7/20/2025 14:11:27,7/20/2025 17:14:24,MPLS,********,CT Line Issue/Backup Drained,4th Shrawan,"0 days, 03 hrs, 02 min",,Power,0.1270486111,Prov1
41,mchisapani-sw1,TRUE,7/20/2025 14:33:27,7/20/2025 14:39:27,Losses/Latency,Gorkha NTA,Losses,4th Shrawan,"0 days, 00 hrs, 06 min",,Fiber,0.004166666666,Prov4
42,mpadampokhari-sw1,FALSE,7/20/2025 14:33:27,7/20/2025 15:41:39,Switch,Central Region,Fiber Breakage,4th Shrawan,"0 days, 01 hrs, 08 min",,Fiber,0.04736111112,Prov3
43,xe-3/0/9 Connected-to-PSS32-BRJ-01#1-10-C6-for-IPLC-LAG-ae7 at-mbirgunj-nea,,7/20/2025 15:04:27,7/20/2025 15:05:00,Link Flap,********,Unknown,4th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0.0003819444391,**********
44,mlahachhewar-sw1,FALSE,7/20/2025 15:41:51,7/20/2025 16:07:27,Switch,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 25 min",,Power,0.01777777778,Prov3
45,mhetauda-warehouse-sw1,FALSE,7/20/2025 15:45:23,7/20/2025 16:10:58,Switch,Central Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 25 min",,Power,0.01776620371,Prov3
46,mgalchi <-> mtrishuli [10G],,7/20/2025 15:51:11,7/21/2025 17:12:22,Link Down,********,Optical Power,4th Shrawan,"1 days, 01 hrs, 21 min",As per Shiva ji Link is maintained but port is still showing down. need to check from trishuli side. Informed to Shreekrishan ji.,Fiber,1.056377315,**********
47,mdaphelake-sw1,TRUE,7/20/2025 15:54:57,7/21/2025 6:23:51,Switch,Far Western Region,Rebooted,4th Shrawan,"0 days, 14 hrs, 28 min",,Power,0.6034027778,**********
48,mbarahathawa-sw1,FALSE,7/20/2025 16:09:45,7/20/2025 16:17:54,Switch,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 08 min",,Power,0.005659722221,Prov2
49,mbhajani-sw1,FALSE,7/20/2025 16:23:21,7/20/2025 17:05:31,Switch,Far Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02928240741,**********
50,mkerkha-sw1-mdamak-sw1,,7/20/2025 10:42:00,7/20/2025 17:35:00,Optical Power,********,Fiber Breakage,4th Shrawan,"0 days, 06 hrs, 53 min",We have tested the optical and its fine now so we will test the link tonight and will update accordingly.,Fiber,0.2868055556,**********
51,xe-3/0/9 Connected-to-PSS32-BRJ-01#1-10-C6-for-IPLC-LAG-ae7 at-mbirgunj-nea,,7/20/2025 16:45:21,7/20/2025 16:46:00,Link Flap,********,Unknown,4th Shrawan,"0 days, 00 hrs, 00 min",,Unknown,0.0004513888853,**********
52,mitahari-ch <->mlahan [40G],,7/20/2025 17:13:28,7/20/2025 18:08:27,Link Down,********,Broadlink issue,4th Shrawan,"0 days, 00 hrs, 54 min"," The link is up after the issue was resolved on the BL side. However, power optimization is still needed on their end, which has been informed to them.",Fiber,0.03818287037,**********
53,mpokhara-satmane-sw1,FALSE,7/20/2025 17:12:40,7/20/2025 17:23:12,Switch,Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 10 min",,Power,0.007314814815,Prov4
54,mlahan-office-sw1,FALSE,7/20/2025 17:23:40,7/20/2025 17:26:59,Switch,********,Rebooted,4th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002303240741,Prov2
55,mlahachhewar-sw1,FALSE,7/20/2025 17:17:27,7/20/2025 18:43:03,Switch,********,Rebooted,4th Shrawan,"0 days, 01 hrs, 25 min",,Power,0.05944444445,Prov3
56,mgalchi - mmalekhu [10G],,7/20/2025 17:23:40,7/21/2025 16:50:00,Optical Power,********,Optical Power,4th Shrawan,"0 days, 23 hrs, 26 min",Already informed to Mahesh ji,Fiber,0.9766203704,**********
57,mchisapani-sw1,TRUE,7/20/2025 17:54:40,7/20/2025 17:54:40,Losses/Latency,Gorkha NTA,Losses,4th Shrawan,"0 days, 00 hrs, 00 min",,Fiber,0,Prov4
58,mdoti-sw1,FALSE,7/20/2025 18:02:40,7/20/2025 18:08:27,Switch,Far Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.004016203697,Prov7
59,mgalchi <-> mdhading [10G],,7/20/2025 18:21:40,7/29/2025 17:00:00,Optical Power,********,Optical Power,4th Shrawan,"8 days, 22 hrs, 38 min",Call not received by Mahesh Jee at the moment. We will update once the call gets received.,Fiber,8.943287037,**********
60,msirdibas-sw1,TRUE,7/20/2025 18:33:53,7/21/2025 7:16:04,Switch,Gorkha NTA,Unknown,4th Shrawan,"0 days, 12 hrs, 42 min",,Unknown,0.5292939815,**********
61,mdoti-sw1,FALSE,7/20/2025 19:03:53,7/20/2025 19:26:42,Switch,Far Western Region,Rebooted,4th Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01584490741,Prov7
62,mkakanidanda-sw1,TRUE,7/20/2025 19:06:42,7/21/2025 7:06:31,Switch,Central Region,Manual Reboot,4th Shrawan,"0 days, 11 hrs, 59 min",Anna jee (9863522615) has been informed to look into the matter. We will provide further updates accordingly.He will manually reboot the system tomorrow morning.,Power,0.4998726852,Prov3
